Key,Summary,Status,Project,Current Size,Planned Size,Num of CPCRs/SWCRs,Fix Version/s,CSL Programs,Priority Score,Feature Type,Level
CSLCND-54674,SUMMARY REDACTED,Open,CSL_CND,12,5,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLCND-53617,SUMMARY REDACTED,Open,CSL_CND,1,1,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Product,1
CSLCND-54146,SUMMARY REDACTED,Open,CSL_CND,1,1,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLADS-55459,SUMMARY REDACTED,Open,CSL_ADS,1,1,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Product,1
CSLADS-56342,SUMMARY REDACTED,Open,CSL_ADS,1,1,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLADS-55472,SUMMARY REDACTED,Open,CSL_ADS,35.5,38,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Product,1
CSLADS-56149,SUMMARY REDACTED,Open,CSL_ADS,27,27,,"CSL_R8, CSL_R8_InCapacity",ACB16,2689,Team,2
CSLADS-56501,SUMMARY REDACTED,Open,CSL_ADS,1.5,1.5,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLADS-56251,SUMMARY REDACTED,Open,CSL_ADS,7,7,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLADS-55474,SUMMARY REDACTED,Open,CSL_ADS,31,19,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Product,1
CSLADS-56087,SUMMARY REDACTED,Open,CSL_ADS,3,3,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLADS-56415,SUMMARY REDACTED,Open,CSL_ADS,7,7,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLADS-56151,SUMMARY REDACTED,Open,CSL_ADS,7,7,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLADS-56502,SUMMARY REDACTED,Open,CSL_ADS,2,2,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLADS-56250,SUMMARY REDACTED,Open,CSL_ADS,9,9,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLMP-44920,SUMMARY REDACTED,Open,CSL_MP,15,15,,"CSL_R8, CSL_R8_OutOfCapacity",ACB16,2675,Product,1
CSLMP-46563,SUMMARY REDACTED,Open,CSL_MP,15,15,,"CSL_R8, CSL_R8_OutOfCapacity",ACB16,2675,Team,2
